bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,house_age,is_renovated,years_since_renovation,city_target_enc,zip_target_enc,sqft_living_per_bathroom,lot_to_living_ratio,total_rooms,bath_bed_ratio
3.0,2.5,2620,8950,2.0,0,0,3,0,22,0,22,881585.4168316831,809289.1351351351,748.5714285714286,3.4160305343511452,5.5,0.625
3.0,1.5,1350,7620,1.0,0,0,5,0,73,0,73,378731.27777777775,484335.21428571426,540.0,5.644444444444445,4.5,0.375
4.0,3.0,2400,3340,1.0,0,0,4,1200,50,0,50,576183.7791741472,601203.7209302326,600.0,1.3916666666666666,7.0,0.6
4.0,2.5,2760,5000,1.5,0,0,5,1080,86,1,44,583475.1987418453,543333.5897435897,788.5714285714286,1.8115942028985508,6.5,0.5
4.0,2.25,3070,16028,1.0,0,3,3,1200,38,0,38,1099543.2580645161,1099543.2580645161,944.6153846153846,5.220846905537459,6.25,0.45
2.0,1.75,2040,28593,1.5,1,3,4,0,95,1,24,483484.7826086957,483484.7826086957,741.8181818181819,14.016176470588235,3.75,0.5833333333333334
4.0,2.0,1770,6000,2.0,0,0,5,0,103,1,33,583475.1987418453,788787.2272727273,590.0,3.389830508474576,6.0,0.4
4.0,3.75,3490,9170,2.0,0,0,3,0,2,1,102,859215.5687192117,1307172.904,734.7368421052631,2.627507163323782,7.75,0.75
2.0,1.5,830,1333,2.0,0,0,3,0,9,0,9,570223.1185050136,483946.96794871794,332.0,1.606024096385542,3.5,0.5
2.0,2.5,980,895,2.0,0,0,3,310,5,0,5,573185.0026954178,666351.088888889,280.0,0.9132653061224489,4.5,0.8333333333333334
3.0,2.5,1570,1433,3.0,0,0,3,0,4,0,4,583475.1987418453,598663.1875,448.57142857142856,0.9127388535031847,5.5,0.625
4.0,3.25,3270,5187,2.0,0,0,3,160,0,0,0,659713.198757764,628759.967032967,769.4117647058823,1.5862385321100918,7.25,0.65
4.0,2.5,2160,6223,2.0,0,0,3,0,4,0,4,339211.3264705882,339211.3264705882,617.1428571428571,2.8810185185185184,6.5,0.5
4.0,3.75,3280,11000,2.0,0,0,3,960,6,0,6,654481.2884615385,805533.4016393443,690.5263157894736,3.3536585365853657,7.75,0.75
4.0,2.5,3360,7685,2.0,0,0,3,0,13,0,13,376968.54547619045,346675.59929577465,960.0,2.287202380952381,6.5,0.5
5.0,2.75,3150,7119,2.0,0,0,3,0,1,1,91,667110.3374233128,649564.5408163265,840.0,2.26,7.75,0.4583333333333333
3.0,3.5,1810,1846,2.0,0,0,4,370,5,0,5,570223.1185050136,577744.32,402.22222222222223,1.0198895027624308,6.5,0.875
4.0,2.5,2740,7140,2.0,0,0,3,0,21,0,21,712166.302173913,657703.171875,782.8571428571429,2.605839416058394,6.5,0.5
5.0,4.75,3830,35000,1.0,0,0,3,1700,38,0,38,610245.4411764706,681119.6428571428,666.0869565217391,9.138381201044387,9.75,0.7916666666666666
3.0,3.25,3190,5283,2.0,0,0,3,0,7,0,7,589927.1679389313,617858.71875,750.5882352941177,1.6561128526645768,6.25,0.8125
3.0,2.25,2350,10450,1.0,0,0,3,960,37,1,10,453958.47826086957,453958.47826086957,723.0769230769231,4.446808510638298,5.25,0.5625
4.0,2.25,2510,8165,1.0,0,0,4,900,42,0,42,290510.51923076925,287434.2,772.3076923076923,3.252988047808765,6.25,0.45
2.0,2.0,1680,4950,1.0,0,0,3,0,8,0,8,659713.198757764,701241.5652173914,560.0,2.9464285714285716,4.0,0.6666666666666666
3.0,2.0,1770,6610,1.0,0,0,4,810,60,1,35,433780.94444444444,378450.7192982456,590.0,3.7344632768361583,5.0,0.5
3.0,1.0,1090,7315,1.0,0,0,5,0,33,0,33,371872.2878787879,392019.0338983051,545.0,6.7110091743119265,4.0,0.25
5.0,2.5,3001,5710,2.0,0,0,3,0,8,0,8,302187.765625,292224.96153846156,857.4285714285714,1.9026991002999,7.5,0.4166666666666667
5.0,3.0,2450,4591,2.0,0,0,3,0,20,0,20,570223.1185050136,586761.8313953489,612.5,1.8738775510204082,8.0,0.5
3.0,3.25,3610,59677,2.0,0,0,3,1170,11,0,11,611394.2276422764,599392.1333333333,849.4117647058823,16.531024930747922,6.25,0.8125
4.0,2.0,2250,7500,1.0,0,0,5,1050,58,0,58,847974.924611399,752347.2222222222,750.0,3.3333333333333335,6.0,0.4
3.0,1.5,1240,7735,1.0,0,0,4,0,57,1,13,881585.4168316831,699132.2580645161,496.0,6.237903225806452,4.5,0.375
4.0,2.0,2260,6000,1.0,0,0,3,830,56,1,10,570223.1185050136,610774.3578947368,753.3333333333334,2.6548672566371683,6.0,0.4
4.0,1.75,2090,8164,1.0,0,0,4,1020,51,0,51,659713.198757764,628759.967032967,760.0,3.90622009569378,5.75,0.35
5.0,1.75,2020,7902,1.0,0,0,3,800,52,1,11,583475.1987418453,275526.7755102041,734.5454545454545,3.911881188118812,6.75,0.2916666666666667
3.0,1.75,1960,5000,1.0,0,0,5,980,103,1,30,574543.2427470535,353735.36363636365,712.7272727272727,2.5510204081632653,4.75,0.4375
5.0,2.25,3120,16672,2.0,0,0,4,0,45,0,45,1400000.0,1326856.5666666667,960.0,5.343589743589743,7.25,0.375
3.0,1.5,1250,7500,1.0,0,0,3,0,47,1,3,297151.21774193546,277571.13333333336,500.0,6.0,4.5,0.375
3.0,2.25,1490,9600,1.0,0,0,4,320,27,0,27,420648.1666666667,420648.1666666667,458.46153846153845,6.442953020134228,5.25,0.5625
6.0,3.0,2890,2370,2.5,0,0,3,600,108,1,0,573185.0026954178,705945.625,722.5,0.8200692041522492,9.0,0.42857142857142855
3.0,1.0,1900,33888,1.5,0,0,4,0,72,1,32,297123.8925619835,253411.1914893617,950.0,17.835789473684212,4.0,0.25
3.0,1.75,1680,2400,1.0,0,0,5,810,92,1,58,583475.1987418453,577872.32,610.9090909090909,1.4285714285714286,4.75,0.4375
3.0,2.5,2030,8398,2.0,0,0,4,0,39,0,39,859215.5687192117,631745.0,580.0,4.136945812807882,5.5,0.625
4.0,2.5,3740,8700,1.0,0,0,3,1480,10,1,11,377807.7863636364,347522.01615384617,1068.5714285714287,2.3262032085561497,6.5,0.5
3.0,1.75,1580,11750,1.0,0,0,4,400,63,1,15,573185.0026954178,458276.3157894737,574.5454545454545,7.436708860759493,4.75,0.4375
3.0,2.25,1780,6120,1.5,0,0,4,390,87,0,87,576183.7791741472,593491.5454545454,547.6923076923077,3.438202247191011,5.25,0.5625
2.0,1.0,910,6232,1.0,0,0,3,0,71,1,12,574543.2427470535,445100.0,455.0,6.848351648351648,3.0,0.3333333333333333
7.0,4.0,3440,8100,2.0,0,0,3,0,44,1,0,570223.1185050136,606082.1632653062,688.0,2.354651162790698,11.0,0.5
3.0,2.5,1740,13750,2.0,0,0,4,0,39,0,39,847974.924611399,660358.3333333334,497.14285714285717,7.902298850574713,5.5,0.625
5.0,2.5,3400,8970,1.0,0,0,4,1700,55,0,55,420507.6153846154,382840.9275362319,971.4285714285714,2.638235294117647,7.5,0.4166666666666667
4.0,3.25,4400,16625,2.0,0,0,3,0,11,0,11,692567.8918918918,761330.9019607843,1035.2941176470588,3.778409090909091,7.25,0.65
3.0,2.5,2010,14298,2.0,0,0,3,0,37,1,10,483484.7826086957,483484.7826086957,574.2857142857143,7.113432835820896,5.5,0.625
4.0,2.25,2710,38180,2.0,0,0,4,0,37,0,37,610245.4411764706,681119.6428571428,833.8461538461538,14.088560885608857,6.25,0.45
4.0,2.5,5300,26211,2.0,1,2,2,730,91,0,91,570223.1185050136,896874.1724137932,1514.2857142857142,4.945471698113208,6.5,0.5
3.0,1.5,1310,3880,1.0,0,0,3,220,58,1,13,574543.2427470535,566680.5729166666,524.0,2.9618320610687023,4.5,0.375
4.0,1.5,1950,12559,1.5,0,0,3,0,75,1,45,257737.16,283935.7368421053,780.0,6.44051282051282,5.5,0.3
3.0,1.0,1040,6535,1.0,0,0,3,0,67,1,2,583475.1987418453,275526.7755102041,520.0,6.283653846153846,4.0,0.25
3.0,1.75,1090,7200,1.0,0,0,3,0,46,1,17,655071.1991869919,514387.5806451613,396.3636363636364,6.605504587155964,4.75,0.4375
2.0,0.75,650,5360,1.0,0,0,4,0,83,0,83,573185.0026954178,382840.9275362319,371.42857142857144,8.246153846153845,2.75,0.25
3.0,2.0,1480,6600,1.0,0,2,3,740,71,1,12,574543.2427470535,373425.72222222225,493.3333333333333,4.45945945945946,5.0,0.5
2.0,1.0,790,2640,1.0,0,0,3,0,41,1,1,654481.2884615385,520942.46376811597,395.0,3.3417721518987342,3.0,0.3333333333333333
4.0,2.5,3560,11119,1.0,0,2,3,1270,28,0,28,859215.5687192117,1307172.904,1017.1428571428571,3.123314606741573,6.5,0.5
4.0,2.5,3000,5548,2.0,0,0,3,0,8,0,8,673746.1363636364,393745.6779661017,857.1428571428571,1.8493333333333333,6.5,0.5
4.0,2.5,3490,7494,2.0,0,3,3,0,14,0,14,859215.5687192117,827419.403125,997.1428571428571,2.147277936962751,6.5,0.5
3.0,1.75,2340,10495,1.0,0,0,4,0,47,0,47,1182030.1090909091,1182030.1090909091,850.9090909090909,4.485042735042735,4.75,0.4375
3.0,1.75,1650,8254,1.0,0,0,5,590,63,0,63,420507.6153846154,378368.49253731343,600.0,5.002424242424242,4.75,0.4375
3.0,2.0,1940,5820,1.5,0,0,5,790,70,0,70,583475.1987418453,543333.5897435897,646.6666666666666,3.0,5.0,0.5
5.0,3.0,3410,9600,1.0,0,0,4,1540,46,0,46,664524.1592356688,661440.7894736842,852.5,2.8152492668621703,8.0,0.5
3.0,1.0,1710,4050,1.5,0,0,3,0,105,1,10,573185.0026954178,576457.3465346535,855.0,2.3684210526315788,4.0,0.25
4.0,1.5,2740,4000,2.0,0,0,5,810,109,0,109,573185.0026954178,971798.75,1096.0,1.4598540145985401,5.5,0.3
3.0,2.75,1250,892,2.0,0,0,3,210,4,0,4,573185.0026954178,666351.088888889,333.3333333333333,0.7136,5.75,0.6875
3.0,2.25,2450,42180,1.0,0,0,4,0,36,1,14,306341.6666666667,326180.80597014923,753.8461538461538,17.216326530612246,5.25,0.5625
3.0,1.75,1690,8190,1.0,0,0,4,0,56,1,42,859295.1570351758,817478.5,614.5454545454545,4.846153846153846,4.75,0.4375
4.0,1.75,1950,13320,1.0,0,0,4,580,45,0,45,854623.3027093596,673630.7692307692,709.0909090909091,6.8307692307692305,5.75,0.35
5.0,2.0,2290,7125,1.0,0,0,3,1100,50,1,14,859295.1570351758,680245.7142857143,763.3333333333334,3.111353711790393,7.0,0.3333333333333333
5.0,3.25,3370,17458,1.0,0,2,5,1370,32,0,32,1223622.0,1223622.0,792.9411764705883,5.180415430267062,8.25,0.5416666666666666
3.0,1.0,1090,8640,1.0,0,0,4,0,41,0,41,372098.1818181818,467334.3243243243,545.0,7.926605504587156,4.0,0.25
3.0,1.0,1190,9486,1.0,0,0,4,0,61,1,31,583115.9090909091,484335.21428571426,595.0,7.9714285714285715,4.0,0.25
5.0,4.25,3530,7924,2.0,0,0,3,0,13,0,13,1223622.0,1223622.0,672.3809523809524,2.2447592067988666,9.25,0.7083333333333334
3.0,1.0,1440,5000,2.0,0,0,3,0,104,1,8,573185.0026954178,576457.3465346535,720.0,3.4722222222222223,4.0,0.25
4.0,1.75,2180,13529,1.0,0,0,3,1090,58,1,13,466114.81481481483,378368.49253731343,792.7272727272727,6.205963302752294,5.75,0.35
4.0,1.0,1410,6000,1.0,0,0,3,600,89,1,12,583475.1987418453,437527.63157894736,705.0,4.25531914893617,5.0,0.2
3.0,2.5,1950,8251,2.0,0,0,3,0,24,1,5,306983.0317460318,273470.65789473685,557.1428571428571,4.231282051282052,5.5,0.625
5.0,3.25,4860,23723,2.0,0,2,4,1040,25,0,25,1182030.1090909091,1182030.1090909091,1143.5294117647059,4.881275720164609,8.25,0.5416666666666666
3.0,1.0,1660,7210,1.0,0,0,3,560,51,1,6,289521.22794117645,261910.125,830.0,4.343373493975903,4.0,0.25
3.0,1.0,1390,12823,1.0,0,0,4,0,46,0,46,607079.2441860465,660496.5277777778,695.0,9.225179856115108,4.0,0.25
3.0,2.0,1350,14200,1.0,0,0,3,0,25,0,25,420657.71428571426,420657.71428571426,450.0,10.518518518518519,5.0,0.5
3.0,2.0,1530,5401,1.0,0,0,4,0,77,0,77,576183.7791741472,610943.3953488372,510.0,3.530065359477124,5.0,0.5
3.0,1.5,1270,5112,1.0,0,0,3,0,64,1,9,583475.1987418453,600662.226744186,508.0,4.025196850393701,4.5,0.375
4.0,2.25,2140,6355,2.0,0,0,3,0,12,0,12,547301.5576923077,547301.5576923077,658.4615384615385,2.9696261682242993,6.25,0.45
4.0,2.5,2040,5616,2.0,0,0,3,0,2,1,102,466376.511627907,466376.511627907,582.8571428571429,2.7529411764705882,6.5,0.5
3.0,3.5,2876,5086,2.0,0,0,3,516,7,0,7,632047.53125,597260.8888888889,639.1111111111111,1.7684283727399166,6.5,0.875
3.0,2.5,1580,1161,2.0,0,0,3,570,6,0,6,574543.2427470535,1017813.976744186,451.42857142857144,0.7348101265822785,5.5,0.625
4.0,3.5,3400,5196,2.0,0,0,3,0,2,1,102,533938.304347826,533938.304347826,755.5555555555555,1.5282352941176471,7.5,0.7
4.0,2.5,3520,6773,2.5,0,0,3,870,8,0,8,570223.1185050136,483946.96794871794,1005.7142857142857,1.9241477272727272,6.5,0.5
4.0,2.5,2210,4861,2.0,0,0,3,0,1,1,91,570223.1185050136,586761.8313953489,631.4285714285714,2.1995475113122174,6.5,0.5
4.0,2.5,2790,5602,2.0,0,0,3,0,5,0,5,371872.2878787879,510118.0,797.1428571428571,2.007885304659498,6.5,0.5
3.0,2.5,1450,5008,1.0,0,0,3,610,7,0,7,573185.0026954178,299231.52173913043,414.2857142857143,3.453793103448276,5.5,0.625
4.0,1.75,1620,4980,1.0,0,0,4,760,67,1,26,583475.1987418453,378450.7192982456,589.0909090909091,3.074074074074074,5.75,0.35
3.0,1.5,1220,1086,3.0,0,0,3,0,7,0,7,573185.0026954178,382840.9275362319,488.0,0.8901639344262295,4.5,0.375
3.0,1.75,2000,5000,1.0,0,0,4,890,93,0,93,570223.1185050136,586761.8313953489,727.2727272727273,2.5,4.75,0.4375
4.0,2.5,2190,7350,2.5,0,0,5,0,56,0,56,1182030.1090909091,1182030.1090909091,625.7142857142857,3.356164383561644,6.5,0.5
4.0,1.75,1900,8250,1.0,0,0,4,950,59,1,5,881585.4168316831,809289.1351351351,690.9090909090909,4.342105263157895,5.75,0.35
3.0,1.0,1700,4400,1.5,0,0,4,0,108,1,24,573185.0026954178,544298.1739130435,850.0,2.588235294117647,4.0,0.25
5.0,2.5,2540,3832,2.0,0,0,5,780,85,0,85,574543.2427470535,566680.5729166666,725.7142857142857,1.5086614173228345,7.5,0.4166666666666667
2.0,1.0,1170,8925,1.0,0,2,3,0,103,1,35,295841.6666666667,299247.56097560975,585.0,7.628205128205129,3.0,0.3333333333333333
5.0,5.0,5774,31675,1.0,0,2,3,1284,30,0,30,298547.1904761905,300771.1538461539,962.3333333333334,5.485798406650503,10.0,0.8333333333333334
3.0,2.25,2120,15003,2.0,0,0,3,0,30,0,30,377807.7863636364,523649.19402985077,652.3076923076923,7.0768867924528305,5.25,0.5625
3.0,1.75,2170,26460,1.0,0,0,3,720,28,0,28,712166.302173913,657703.171875,789.0909090909091,12.193548387096774,4.75,0.4375
4.0,2.75,2450,15002,1.0,0,0,5,0,40,0,40,480427.5,418429.25675675675,653.3333333333334,6.123265306122449,6.75,0.55
2.0,1.0,700,5200,1.0,0,0,5,0,62,1,16,379453.5624401914,390117.4745762712,350.0,7.428571428571429,3.0,0.3333333333333333
3.0,2.5,1780,7214,1.0,0,0,4,380,28,0,28,301453.96774193546,287895.1666666667,508.57142857142856,4.052808988764045,5.5,0.625
3.0,2.0,1850,8250,1.0,0,0,4,700,62,0,62,308362.248,225450.1,616.6666666666666,4.45945945945946,5.0,0.5
3.0,2.0,1570,5706,1.0,0,0,3,0,16,1,8,294280.725,357244.34545454546,523.3333333333334,3.6343949044585986,5.0,0.5
3.0,1.0,1290,5500,1.0,0,0,3,310,63,1,20,573185.0026954178,531402.2828947369,645.0,4.263565891472868,4.0,0.25
5.0,2.0,1700,7314,1.0,0,0,3,700,58,1,13,583475.1987418453,352404.6388888889,566.6666666666666,4.302352941176471,7.0,0.3333333333333333
2.0,1.5,1159,4800,1.0,0,0,3,0,66,1,20,583475.1987418453,788787.2272727273,463.6,4.141501294219155,3.5,0.5
3.0,2.75,1850,9600,1.5,0,0,5,0,49,0,49,654481.2884615385,520942.46376811597,493.3333333333333,5.1891891891891895,5.75,0.6875
2.0,1.0,840,3522,1.0,0,0,3,0,67,1,2,574543.2427470535,731451.1428571428,420.0,4.192857142857143,3.0,0.3333333333333333
3.0,2.5,1690,1618,2.0,0,0,3,540,0,0,0,609064.7603305785,621249.6153846154,482.85714285714283,0.9573964497041421,5.5,0.625
3.0,1.0,1050,9876,1.0,0,0,3,0,61,0,61,445182.39130434784,445182.39130434784,525.0,9.405714285714286,4.0,0.25
3.0,1.75,1400,3825,1.5,0,0,4,300,110,0,110,574543.2427470535,566680.5729166666,509.09090909090907,2.732142857142857,4.75,0.4375
3.0,2.5,2550,7200,2.0,0,2,3,0,33,1,1,574543.2427470535,551327.925925926,728.5714285714286,2.823529411764706,5.5,0.625
3.0,2.5,1840,5011,2.0,0,0,3,0,2,1,102,339556.4805970149,339556.4805970149,525.7142857142857,2.7233695652173915,5.5,0.625
3.0,1.5,2360,6750,2.0,0,0,5,430,88,0,88,583475.1987418453,598663.1875,944.0,2.860169491525424,4.5,0.375
