bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,house_age,is_renovated,years_since_renovation,city_target_enc
3.0,2.5,1780,7214,1.0,0,0,4,380,28,0,28,301453.96774193546
3.0,2.0,1850,8250,1.0,0,0,4,700,62,0,62,308362.248
3.0,2.0,1570,5706,1.0,0,0,3,0,16,1,8,294280.725
3.0,1.0,1290,5500,1.0,0,0,3,310,63,1,20,573185.0026954178
5.0,2.0,1700,7314,1.0,0,0,3,700,58,1,13,583475.1987418453
2.0,1.5,1159,4800,1.0,0,0,3,0,66,1,20,583475.1987418453
3.0,2.75,1850,9600,1.5,0,0,5,0,49,0,49,654481.2884615385
2.0,1.0,840,3522,1.0,0,0,3,0,67,1,2,574543.2427470535
3.0,2.5,1690,1618,2.0,0,0,3,540,0,0,0,609064.7603305785
3.0,1.0,1050,9876,1.0,0,0,3,0,61,0,61,445182.39130434784
3.0,1.75,1400,3825,1.5,0,0,4,300,110,0,110,574543.2427470535
3.0,2.5,2550,7200,2.0,0,2,3,0,33,1,1,574543.2427470535
3.0,2.5,1840,5011,2.0,0,0,3,0,2,1,102,339556.4805970149
3.0,1.5,2360,6750,2.0,0,0,5,430,88,0,88,583475.1987418453
4.0,2.5,2240,14667,2.0,0,0,4,0,25,0,25,674250.625
4.0,2.5,2700,4004,2.0,0,0,3,0,10,1,11,611821.4210526316
3.0,2.5,3030,30007,1.5,0,0,4,0,22,0,22,602057.1753246753
3.0,1.75,1830,5120,1.5,0,2,5,0,111,0,111,583475.1987418453
3.0,2.5,2220,6049,2.0,0,0,4,0,24,0,24,302187.765625
3.0,2.5,2090,7640,1.0,0,0,3,730,52,1,0,428665.7159090909
3.0,1.75,1600,6120,1.5,0,0,3,0,90,1,3,570223.1185050136
4.0,1.75,2010,8625,1.0,0,0,4,670,57,1,13,423979.98295454547
2.0,1.0,830,4000,1.0,0,0,3,0,59,1,9,574543.2427470535
4.0,2.5,2010,7226,2.0,0,0,3,0,19,0,19,308362.248
3.0,1.0,1050,5402,1.5,0,0,4,0,108,1,24,583475.1987418453
4.0,2.5,2150,39449,1.0,0,0,3,730,36,0,36,730700.0
3.0,1.0,860,11900,1.0,0,0,4,0,51,0,51,301453.96774193546
3.0,2.5,3100,20553,1.0,0,0,3,0,60,1,9,423979.98295454547
3.0,1.0,1100,17334,1.0,0,0,3,0,36,0,36,306983.0317460318
3.0,1.5,1830,8000,1.0,0,0,4,0,57,1,13,854623.3027093596
2.0,1.75,1250,34395,1.0,0,0,4,0,64,1,31,290510.51923076925
3.0,2.5,1820,4883,2.0,0,0,3,0,9,0,9,447643.1818181818
3.0,2.0,2090,42689,1.5,0,0,3,0,55,1,16,468500.0
3.0,3.5,2100,12384,2.0,0,0,3,0,34,0,34,352033.1
4.0,2.5,2310,14023,2.0,0,0,3,0,23,0,23,413841.8
4.0,2.25,2060,5649,1.0,0,0,5,700,73,0,73,583475.1987418453
4.0,2.25,4470,60373,2.0,0,0,3,0,26,1,14,612917.84375
3.0,1.0,1660,7500,1.0,0,0,4,600,74,1,13,574543.2427470535
5.0,4.5,3810,8019,2.0,0,0,3,0,6,0,6,712166.302173913
3.0,1.75,2110,10200,2.0,0,0,4,0,48,0,48,377807.7863636364
2.0,2.0,2370,217800,1.5,0,0,3,770,22,0,22,609064.7603305785
3.0,2.25,1970,3716,2.0,0,0,3,0,17,0,17,379453.5624401914
4.0,2.5,2470,33305,2.0,0,0,3,0,21,0,21,662070.8855421686
3.0,1.0,1480,7830,1.0,0,0,3,0,62,1,6,433780.94444444444
5.0,3.0,2257,10117,1.0,0,0,3,894,9,0,9,260515.44444444444
2.0,1.0,700,6000,1.0,0,0,4,0,65,1,29,420507.6153846154
4.0,2.0,1630,9010,1.0,0,0,4,580,39,0,39,308362.248
4.0,2.5,3430,10157,2.0,0,0,3,0,14,0,14,665473.701171875
5.0,1.75,2220,6000,1.5,0,0,3,800,91,1,16,583475.1987418453
3.0,1.75,1340,7473,1.0,0,0,4,0,41,0,41,294280.725
2.0,1.0,980,2130,1.0,0,0,4,120,96,1,40,583475.1987418453
3.0,2.5,2580,13096,2.0,0,0,3,0,28,0,28,667110.3374233128
4.0,2.5,2230,4541,2.0,0,0,3,0,8,0,8,319992.64705882355
4.0,2.0,2290,11137,1.0,0,0,4,0,59,1,5,859215.5687192117
3.0,1.0,1260,8280,1.0,0,0,3,0,68,0,68,570223.1185050136
4.0,2.75,1680,11180,1.0,0,0,4,0,48,0,48,664018.5575757576
4.0,3.25,3200,7081,2.0,0,0,3,0,10,1,11,704425.8029661017
4.0,2.5,3320,7644,2.0,0,0,3,0,19,0,19,859215.5687192117
4.0,2.5,3040,24123,2.0,0,0,3,0,15,0,15,297123.8925619835
4.0,2.75,2270,7375,1.0,0,0,4,980,41,0,41,675464.6038732395
3.0,2.5,2910,17172,2.0,0,0,3,0,25,0,25,298547.1904761905
5.0,2.25,2510,9887,2.0,0,0,3,0,42,1,12,1204170.349206349
2.0,1.0,1240,7200,1.0,0,0,3,0,47,1,3,345922.0
3.0,2.75,2580,5200,2.0,0,0,3,0,6,0,6,371872.2878787879
3.0,2.75,2470,3600,2.0,0,0,3,0,7,0,7,609064.7603305785
4.0,3.5,4910,9444,1.5,0,0,3,1800,7,0,7,692567.8918918918
3.0,2.5,1690,5025,2.0,0,0,3,0,11,0,11,291133.71153846156
4.0,2.5,2240,12032,1.0,0,0,3,0,31,1,5,712166.302173913
3.0,2.0,1650,7352,1.0,0,0,3,490,35,1,0,377807.7863636364
4.0,2.5,2710,5880,2.0,0,0,3,0,16,1,8,294280.725
3.0,1.5,1260,10350,1.0,0,0,3,0,55,1,25,859215.5687192117
3.0,1.0,1150,8100,1.0,0,0,3,0,82,0,82,573185.0026954178
4.0,2.75,2550,7636,1.0,0,0,3,1110,28,0,28,707300.656504065
3.0,1.75,1490,6930,1.0,0,0,4,0,24,0,24,306368.0406504065
4.0,1.75,2020,7865,1.0,0,0,4,1010,51,0,51,370580.66352040815
2.0,1.0,1320,4520,1.0,0,1,3,0,102,1,43,583475.1987418453
3.0,1.0,1230,10350,1.0,0,0,4,0,57,1,13,371872.2878787879
4.0,2.5,2070,7800,2.0,0,0,3,0,25,0,25,298547.1904761905
4.0,1.75,2930,11562,1.0,0,3,3,1260,67,1,2,583475.1987418453
3.0,1.0,1090,8520,1.0,0,0,3,0,47,1,3,290510.51923076925
3.0,1.0,1400,7066,1.0,0,0,3,0,57,1,14,570223.1185050136
4.0,2.0,1550,4815,1.5,0,0,3,0,105,1,10,573185.0026954178
3.0,1.0,1220,13000,1.0,0,0,4,0,59,1,5,428665.7159090909
3.0,2.5,1870,7344,1.0,0,0,3,400,34,0,34,661873.9341085271
3.0,2.25,2150,30476,2.0,0,0,3,0,23,0,23,338981.5238095238
3.0,1.0,980,3090,1.5,0,0,3,0,111,1,9,574543.2427470535
3.0,1.5,1490,8475,1.0,0,0,4,0,51,0,51,667110.3374233128
3.0,1.5,1120,7000,1.0,0,0,3,0,59,1,9,881585.4168316831
3.0,2.25,1180,9630,2.0,0,0,3,0,28,0,28,451624.14634146343
4.0,2.5,3240,20301,2.0,0,0,3,0,29,0,29,664018.5575757576
4.0,2.5,2150,6807,2.0,0,0,4,0,23,0,23,297151.21774193546
3.0,2.5,2240,10800,2.0,0,0,3,0,18,0,18,445182.39130434784
3.0,2.0,1400,7384,1.0,0,0,3,250,35,1,0,376968.54547619045
3.0,2.25,1980,40887,1.0,0,0,4,0,34,0,34,664524.1592356688
3.0,1.0,1330,20562,1.5,0,0,3,0,55,1,25,400620.86486486485
4.0,2.5,3200,7535,2.0,0,0,3,0,8,0,8,583475.1987418453
2.0,1.0,1490,6000,1.0,0,0,3,400,68,0,68,576183.7791741472
5.0,4.25,3920,16258,2.0,0,0,3,1020,24,1,5,854623.3027093596
5.0,1.75,2000,3750,2.0,0,0,4,0,93,0,93,576183.7791741472
4.0,2.5,2680,9185,2.0,0,0,3,0,25,0,25,609064.7603305785
4.0,2.0,1670,9987,1.0,0,0,3,0,47,1,3,289521.22794117645
4.0,3.0,3150,9130,2.0,0,0,3,0,13,0,13,704425.8029661017
4.0,3.25,2740,7266,2.0,0,0,3,680,11,0,11,602238.7424242424
4.0,1.75,1890,8000,1.0,0,0,4,640,54,1,13,428665.7159090909
7.0,3.5,2870,29699,1.0,0,0,3,1350,53,1,10,583475.1987418453
3.0,1.0,1160,10384,1.0,0,0,4,0,45,0,45,341878.1945205479
4.0,1.75,3550,19865,2.0,0,0,3,0,52,1,12,1789164.2857142857
3.0,1.75,1790,6117,1.0,0,2,3,440,74,1,18,576183.7791741472
3.0,1.75,1680,250470,1.0,0,0,4,610,74,1,13,413841.8
3.0,2.5,4560,17622,2.0,0,0,4,760,28,0,28,712166.302173913
3.0,2.25,1590,7748,2.0,0,0,4,0,23,0,23,298547.1904761905
3.0,1.0,1630,10304,1.0,0,0,5,0,61,0,61,402504.4879518072
3.0,2.5,2700,7434,2.0,0,0,3,0,23,0,23,610245.4411764706
3.0,2.5,1700,7496,2.0,0,0,3,0,20,0,20,376968.54547619045
4.0,3.25,3740,12080,1.0,0,0,3,1740,26,1,14,607079.2441860465
4.0,3.0,1980,5352,2.5,0,0,3,0,73,1,9,576183.7791741472
2.0,1.0,880,6345,1.0,0,0,3,0,95,1,13,583475.1987418453
3.0,2.0,1400,6200,1.0,0,0,3,700,66,1,20,428665.7159090909
4.0,2.0,2050,4000,1.5,0,0,5,840,73,0,73,576183.7791741472
3.0,2.5,2360,4638,2.0,0,3,3,0,18,0,18,583475.1987418453
4.0,2.0,2560,7798,1.0,0,0,4,670,67,1,26,583475.1987418453
3.0,1.5,1340,10224,1.0,0,0,4,0,58,0,58,859295.1570351758
3.0,1.0,1060,5200,1.0,0,0,5,0,44,0,44,271876.92307692306
3.0,1.5,850,2500,1.0,0,0,3,0,28,0,28,573185.0026954178
4.0,1.75,1880,7303,1.0,0,0,3,870,38,0,38,654481.2884615385
3.0,1.0,1230,12305,1.0,0,0,3,0,59,1,24,859295.1570351758
4.0,1.75,2290,10290,1.0,0,0,3,950,54,1,2,583475.1987418453
3.0,1.0,1660,6582,1.0,0,0,5,660,68,0,68,576183.7791741472
3.0,2.5,1840,2875,2.0,0,0,4,0,17,0,17,576183.7791741472
4.0,2.5,3020,17810,1.0,0,0,3,1420,35,1,0,473692.0
3.0,1.75,1410,6886,1.0,0,0,3,0,90,1,1,583475.1987418453
3.0,1.0,1010,9514,1.0,0,0,3,0,45,1,4,371872.2878787879
3.0,1.75,1960,8136,1.0,0,0,3,980,66,1,20,576183.7791741472
5.0,3.75,3580,14275,2.0,0,0,3,390,15,0,15,611394.2276422764
4.0,2.5,2240,7200,2.0,0,0,3,0,19,0,19,570223.1185050136
4.0,2.5,3310,5404,2.0,0,0,3,0,10,1,11,662070.8855421686
3.0,2.5,1232,1130,3.0,0,0,3,0,7,0,7,583475.1987418453
4.0,3.5,3930,5680,2.0,0,1,3,1110,1,1,91,602238.7424242424
3.0,2.5,1720,3600,2.0,0,0,3,0,4,0,4,664018.5575757576
3.0,2.25,1490,974,2.0,0,0,3,270,5,0,5,583475.1987418453
3.0,2.5,3150,151588,2.0,0,0,3,0,7,0,7,730700.0
4.0,2.5,3950,10856,3.0,0,0,3,0,1,1,91,704425.8029661017
5.0,2.75,3030,10335,2.0,0,0,3,0,1,1,91,635820.0
2.0,1.5,1070,9643,1.0,0,0,3,0,29,0,29,301453.96774193546
3.0,2.5,2320,36847,2.0,0,2,3,0,22,0,22,400620.86486486485
1.0,1.0,700,5100,1.0,0,0,3,0,72,1,15,583475.1987418453
3.0,2.5,2720,6439,2.0,0,0,3,0,9,0,9,547301.5576923077
3.0,2.5,1800,5761,2.0,0,0,4,0,24,0,24,573185.0026954178
3.0,1.75,1560,4049,1.5,0,2,3,560,88,1,11,573185.0026954178
3.0,2.0,1760,11410,1.0,0,0,5,700,37,0,37,377807.7863636364
4.0,3.25,3120,5000,2.0,0,0,3,750,9,0,9,573185.0026954178
2.0,1.0,2020,7200,1.0,0,3,4,320,67,1,26,574543.2427470535
3.0,2.0,1450,2400,1.5,0,0,3,0,114,1,11,583475.1987418453
4.0,2.25,1860,7000,1.0,0,0,3,740,35,1,0,298547.1904761905
4.0,2.25,2270,7800,1.0,0,0,3,980,37,1,10,655071.1991869919
3.0,2.5,1480,15639,2.0,0,0,3,0,27,1,14,421049.06666666665
5.0,1.0,1460,6032,2.0,0,0,4,0,73,1,16,345922.0
4.0,3.5,1850,6519,2.0,0,0,3,720,28,0,28,294129.8971962617
3.0,2.5,2170,5000,2.0,0,0,3,0,11,0,11,589927.1679389313
3.0,1.75,1726,197326,2.0,0,0,4,0,32,1,3,476616.0
3.0,1.75,1180,10541,1.0,0,0,4,240,33,0,33,692567.8918918918
4.0,1.5,1370,9957,1.0,0,0,3,470,42,1,12,665473.701171875
3.0,2.5,2670,13218,1.0,0,0,4,0,26,0,26,298517.84
3.0,1.0,1260,6826,1.0,0,0,3,540,70,0,70,576183.7791741472
4.0,1.0,1980,7991,1.5,0,0,3,0,52,1,11,377807.7863636364
3.0,2.0,2050,3933,1.0,0,0,3,870,88,1,13,576183.7791741472
5.0,2.75,2830,5310,2.0,0,0,3,0,8,0,8,659713.198757764
2.0,1.0,910,3600,1.0,0,0,4,0,105,1,25,583475.1987418453
4.0,2.5,2440,4000,2.0,0,0,3,0,5,0,5,339556.4805970149
